dfnvarn, dataframe ,  variable,        intercept,   [b1. b2. b3]. ,            R squared,         standard deviation   count
flt18cmaFEV05 , flt18cma , FEV05 , -1.11841 , 0.14061 , -0.0034854 , 8.481e-05 , 0.75393 , 0.52287 , 966
flt18cmaFEV1 , flt18cma , FEV1 , -1.26127 , 0.09815 , -0.0014094 , 0.00012443 , 0.81971 , 0.69314 , 966
flt18cmaFEV3 , flt18cma , FEV3 , -1.23687 , 0.06806 , -0.0001246 , 0.00014304 , 0.82608 , 0.77379 , 966
flt18cmaFEV6 , flt18cma , FEV6 , -1.17151 , 0.05717 , 0.0002509 , 0.00014467 , 0.82128 , 0.77885 , 966
flt18cmaFVC , flt18cma , FVC , -1.1732 , 0.05817 , 0.000224 , 0.00014468 , 0.8212 , 0.77983 , 966
flt18cmaMMEF , flt18cma , MMEF , -2.28745 , 0.36871 , -0.0105031 , 0.00011163 , 0.49386 , 0.97962 , 966
flt18cmaPEFR , flt18cma , PEFR , -4.37345 , 0.67357 , -0.0201231 , 0.00020547 , 0.62724 , 1.52114 , 966
f18overcmaEXPIR , f18overcma , EXPIR , 2.72097 , 0.27649 , -0.0020855 , -2.138e-05 , 0.15396 , 3.83825 , 2113
f18overcmaFEF75 , f18overcma , FEF75 , 1.97121 , -0.05319 , 0.0003013 , 2.872e-05 , 0.53352 , 0.65502 , 2113
f18overcmaFEV05 , f18overcma , FEV05 , 0.69228 , 0.00282 , -0.0001934 , 7.177e-05 , 0.64335 , 0.4991 , 2113
f18overcmaFEV1 , f18overcma , FEV1 , 0.77674 , -0.00921 , -0.0001374 , 0.00010647 , 0.72003 , 0.65502 , 2113
f18overcmaFEV3 , f18overcma , FEV3 , 0.43792 , -0.0069 , -0.00017 , 0.00013529 , 0.70941 , 0.72931 , 2113
f18overcmaFEV6 , f18overcma , FEV6 , 0.21042 , 0.00025 , -0.0002216 , 0.00014105 , 0.6764 , 0.72082 , 2113
f18overcmaFVC , f18overcma , FVC , 0.02895 , 0.00588 , -0.0002559 , 0.00014407 , 0.64144 , 0.70495 , 2113
f18overcmaMMEF , f18overcma , MMEF , 3.12159 , -0.02647 , -0.0001425 , 5.124e-05 , 0.53442 , 1.14733 , 2113
f18overcmaPEFR , f18overcma , PEFR , 1.02891 , 0.05084 , -0.0008555 , 0.00019732 , 0.4222 , 1.46687 , 2113
flt18bEXPIR , flt18b , EXPIR , 6.95062 , -0.22114 , 0.0102789 , 1.273e-05 , 0.00405 , 2.7202 , 590
flt18bFEF75 , flt18b , FEF75 , -0.43678 , -0.01396 , 0.0023239 , 6.395e-05 , 0.35955 , 0.58172 , 590
flt18bFEV05 , flt18b , FEV05 , -0.80025 , 0.07436 , -0.0009263 , 7.802e-05 , 0.72016 , 0.48978 , 590
flt18bFEV1 , flt18b , FEV1 , -1.09687 , 0.07939 , -0.0008047 , 0.00010671 , 0.76385 , 0.62003 , 590
flt18bFEV3 , flt18b , FEV3 , -1.11238 , 0.0711 , -0.0005303 , 0.0001204 , 0.76284 , 0.67473 , 590
flt18bFEV6 , flt18b , FEV6 , -1.08878 , 0.06843 , -0.0004901 , 0.00012183 , 0.7588 , 0.67795 , 590
flt18bFVC , flt18b , FVC , -1.05111 , 0.06463 , -0.0003505 , 0.00012161 , 0.75653 , 0.67722 , 590
flt18bMMEF , flt18b , MMEF , -1.36029 , 0.12216 , -0.0012925 , 0.00012258 , 0.44585 , 1.0136 , 590
flt18bPEFR , flt18b , PEFR , -3.28646 , 0.49615 , -0.0123598 , 0.00018946 , 0.59678 , 1.50588 , 590
f18overbEXPIR , f18overb , EXPIR , 2.00395 , 0.26391 , -0.0021709 , 2.071e-05 , 0.10208 , 3.92513 , 957
f18overbFEF75 , f18overb , FEF75 , 1.81301 , -0.05565 , 0.000369 , 2.76e-05 , 0.4149 , 0.61427 , 957
f18overbFEV05 , f18overb , FEV05 , 0.55146 , -0.00803 , -8.75e-05 , 7.53e-05 , 0.5111 , 0.47591 , 957
f18overbFEV1 , f18overb , FEV1 , 0.45512 , -0.01787 , -3.41e-05 , 0.0001081 , 0.59601 , 0.59041 , 957
f18overbFEV3 , f18overb , FEV3 , 0.04483 , -0.01405 , -7.84e-05 , 0.00013424 , 0.58501 , 0.65048 , 957
f18overbFEV6 , f18overb , FEV6 , -0.1812 , -0.00723 , -0.0001318 , 0.00013999 , 0.55445 , 0.64664 , 957
f18overbFVC , f18overb , FVC , -0.32 , -0.00221 , -0.0001663 , 0.0001421 , 0.52306 , 0.63846 , 957
f18overbMMEF , f18overb , MMEF , 2.79809 , -0.04689 , 8.17e-05 , 6.712e-05 , 0.38365 , 1.13502 , 957
f18overbPEFR , f18overb , PEFR , 1.90294 , 0.02095 , -0.000662 , 0.00018594 , 0.30739 , 1.56201 , 957
mlt20cEXPIR , mlt20c , EXPIR , 7.15071 , -0.24651 , 0.0125545 , 3.473e-05 , 0.04131 , 2.46813 , 419
mlt20cFEF75 , mlt20c , FEF75 , 0.17265 , -0.1587 , 0.0066891 , 8.789e-05 , 0.5731 , 0.73519 , 419
mlt20cFEV05 , mlt20c , FEV05 , 0.09351 , -0.12087 , 0.0066918 , 0.00010263 , 0.87849 , 0.80562 , 419
mlt20cFEV1 , mlt20c , FEV1 , 0.07798 , -0.20132 , 0.009955 , 0.00015123 , 0.91106 , 1.09857 , 419
mlt20cFEV3 , mlt20c , FEV3 , 0.14185 , -0.25078 , 0.0122109 , 0.0001765 , 0.91873 , 1.27751 , 419
mlt20cFEV6 , mlt20c , FEV6 , 0.1318 , -0.24505 , 0.0120444 , 0.0001771 , 0.91513 , 1.28745 , 419
mlt20cFVC , mlt20c , FVC , 0.17246 , -0.25126 , 0.0122529 , 0.00017758 , 0.91391 , 1.2893 , 419
mlt20cMMEF , mlt20c , MMEF , 0.00448 , -0.15815 , 0.0090163 , 0.00014881 , 0.66624 , 1.33569 , 419
mlt20cPEFR , mlt20c , PEFR , 0.99302 , -0.39163 , 0.023371 , 0.00024908 , 0.82329 , 2.34952 , 419
m20overcEXPIR , m20overc , EXPIR , 3.16456 , 0.30967 , -0.0022553 , -2.512e-05 , 0.17246 , 4.0761 , 528
m20overcFEF75 , m20overc , FEF75 , 2.38094 , -0.06258 , 0.0003544 , 2.815e-05 , 0.55266 , 0.74223 , 528
m20overcFEV05 , m20overc , FEV05 , 0.74224 , 0.00846 , -0.0002779 , 8.418e-05 , 0.59324 , 0.67741 , 528
m20overcFEV1 , m20overc , FEV1 , 1.01215 , -0.01366 , -0.0001555 , 0.00012629 , 0.69381 , 0.91035 , 528
m20overcFEV3 , m20overc , FEV3 , 0.67935 , -0.02325 , -9.1e-05 , 0.00016889 , 0.7125 , 1.04634 , 528
m20overcFEV6 , m20overc , FEV6 , 0.23443 , -0.0112 , -0.0001817 , 0.00017924 , 0.68736 , 1.03462 , 528
m20overcFVC , m20overc , FVC , -0.18871 , -0.00014 , -0.0002483 , 0.00018611 , 0.64179 , 1.00222 , 528
m20overcMMEF , m20overc , MMEF , 3.82344 , -0.02908 , -0.0001939 , 5.256e-05 , 0.50544 , 1.44463 , 528
m20overcPEFR , m20overc , PEFR , 1.70607 , 0.08491 , -0.0012858 , 0.00022445 , 0.43797 , 2.01352 , 528
mlt20maEXPIR , mlt20ma , EXPIR , 1.93088 , 0.65684 , -0.0155372 , -3.706e-05 , 0.05905 , 2.53017 , 600
mlt20maFEF75 , mlt20ma , FEF75 , -0.20351 , -0.11406 , 0.0048111 , 0.000101 , 0.50499 , 0.7568 , 600
mlt20maFEV05 , mlt20ma , FEV05 , 0.02086 , -0.12395 , 0.0069624 , 0.00011017 , 0.8613 , 0.78473 , 600
mlt20maFEV1 , mlt20ma , FEV1 , -0.12192 , -0.17737 , 0.0092247 , 0.00015748 , 0.89612 , 1.03527 , 600
mlt20maFEV3 , mlt20ma , FEV3 , -0.06555 , -0.21682 , 0.0111308 , 0.00017851 , 0.90003 , 1.1795 , 600
mlt20maFEV6 , mlt20ma , FEV6 , -0.0028 , -0.2238 , 0.0114793 , 0.00017892 , 0.89921 , 1.19023 , 600
mlt20maFVC , mlt20ma , FVC , -0.00505 , -0.22166 , 0.0114347 , 0.00017859 , 0.89883 , 1.19176 , 600
mlt20maMMEF , mlt20ma , MMEF , -0.00959 , -0.18402 , 0.0098129 , 0.00017073 , 0.64309 , 1.33674 , 600
mlt20maPEFR , mlt20ma , PEFR , 0.44986 , -0.38734 , 0.0231754 , 0.00028011 , 0.79962 , 2.33845 , 600
m20overmaEXPIR , m20overma , EXPIR , 3.88411 , 0.41054 , -0.0035744 , -0.00010801 , 0.20773 , 3.56827 , 602
m20overmaFEF75 , m20overma , FEF75 , 1.71127 , -0.06919 , 0.0004559 , 5.479e-05 , 0.41831 , 0.72489 , 602
m20overmaFEV05 , m20overma , FEV05 , 0.62309 , 0.00012 , -0.0002194 , 9.768e-05 , 0.53479 , 0.55999 , 602
m20overmaFEV1 , m20overma , FEV1 , 0.79143 , -0.01841 , -0.0001116 , 0.00013809 , 0.63842 , 0.72278 , 602
m20overmaFEV3 , m20overma , FEV3 , 0.66125 , -0.02097 , -0.0001059 , 0.00016638 , 0.63496 , 0.81263 , 602
m20overmaFEV6 , m20overma , FEV6 , 0.42487 , -0.01318 , -0.0001609 , 0.00017327 , 0.59574 , 0.81297 , 602
m20overmaFVC , m20overma , FVC , 0.24474 , -0.00352 , -0.000227 , 0.000174 , 0.54865 , 0.7964 , 602
m20overmaMMEF , m20overma , MMEF , 2.33293 , -0.03385 , -0.0001662 , 0.00011369 , 0.39857 , 1.30901 , 602
m20overmaPEFR , m20overma , PEFR , -0.70082 , 0.07249 , -0.001223 , 0.0003225 , 0.33186 , 1.88615 , 602
flt18cEXPIR , flt18c , EXPIR , 2.01431 , 0.68276 , -0.0254803 , 1.879e-05 , 0.00925 , 2.6355 , 409
flt18cFEF75 , flt18c , FEF75 , -0.86175 , 0.04226 , -0.0006757 , 8.12e-05 , 0.45227 , 0.59526 , 409
flt18cFEV05 , flt18c , FEV05 , -0.95897 , 0.08303 , -0.0021837 , 9.808e-05 , 0.80235 , 0.53346 , 409
flt18cFEV1 , flt18c , FEV1 , -0.9308 , 0.00857 , 0.0009929 , 0.00013997 , 0.8503 , 0.72064 , 409
flt18cFEV3 , flt18c , FEV3 , -0.70461 , -0.05864 , 0.0036226 , 0.00016118 , 0.85598 , 0.81031 , 409
flt18cFEV6 , flt18c , FEV6 , -0.62323 , -0.06934 , 0.0040048 , 0.00016195 , 0.85022 , 0.81357 , 409
flt18cFVC , flt18c , FVC , -0.641 , -0.06551 , 0.0038683 , 0.00016192 , 0.85036 , 0.8144 , 409
flt18cMMEF , flt18c , MMEF , -2.31735 , 0.31924 , -0.0103304 , 0.00013304 , 0.53043 , 0.96902 , 409
flt18cPEFR , flt18c , PEFR , -3.78115 , 0.50043 , -0.0149636 , 0.00023274 , 0.72283 , 1.50932 , 409
f18overcEXPIR , f18overc , EXPIR , -0.03208 , 0.32896 , -0.0025221 , 2.61e-05 , 0.15571 , 3.9433 , 1108
f18overcFEF75 , f18overc , FEF75 , 2.17342 , -0.05761 , 0.0003375 , 2.538e-05 , 0.58673 , 0.64162 , 1108
f18overcFEV05 , f18overc , FEV05 , 0.76252 , 0.00563 , -0.0002148 , 6.581e-05 , 0.68464 , 0.53481 , 1108
f18overcFEV1 , f18overc , FEV1 , 0.92979 , -0.00685 , -0.0001603 , 9.875e-05 , 0.75206 , 0.71404 , 1108
f18overcFEV3 , f18overc , FEV3 , 0.6091 , -0.00423 , -0.0001989 , 0.00012727 , 0.74506 , 0.80445 , 1108
f18overcFEV6 , f18overc , FEV6 , 0.2853 , 0.00484 , -0.0002657 , 0.00013466 , 0.71441 , 0.79644 , 1108
f18overcFVC , f18overc , FVC , -0.0036 , 0.01198 , -0.0003119 , 0.0001401 , 0.68288 , 0.78064 , 1108
f18overcMMEF , f18overc , MMEF , 3.29092 , -0.03209 , -7.64e-05 , 4.683e-05 , 0.56473 , 1.16476 , 1108
f18overcPEFR , f18overc , PEFR , 1.8281 , 0.06141 , -0.0009549 , 0.00015864 , 0.49894 , 1.52783 , 1108
flt18maEXPIR , flt18ma , EXPIR , 4.43015 , 0.03045 , -0.0023731 , 8.436e-05 , 0.00875 , 2.62669 , 557
flt18maFEF75 , flt18ma , FEF75 , -0.49862 , -0.01779 , 0.0022272 , 8.275e-05 , 0.40431 , 0.60295 , 557
flt18maFEV05 , flt18ma , FEV05 , -1.12125 , 0.14237 , -0.003346 , 8.424e-05 , 0.72712 , 0.51509 , 557
flt18maFEV1 , flt18ma , FEV1 , -1.40423 , 0.12722 , -0.0022156 , 0.00012166 , 0.80071 , 0.67288 , 557
flt18maFEV3 , flt18ma , FEV3 , -1.58885 , 0.1432 , -0.0025181 , 0.00013486 , 0.80407 , 0.74607 , 557
flt18maFEV6 , flt18ma , FEV6 , -1.53108 , 0.13054 , -0.0020896 , 0.00013745 , 0.80028 , 0.75255 , 557
flt18maFVC , flt18ma , FVC , -1.5209 , 0.12939 , -0.0020339 , 0.00013752 , 0.79998 , 0.75365 , 557
flt18maMMEF , flt18ma , MMEF , -1.88906 , 0.27729 , -0.0069641 , 0.00012313 , 0.48739 , 0.982 , 557
